cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score
-23.16397,51.03443,3.00746,-0.97426,-0.03518,0.22269,0.99545,0.0,0.0,nan,0.0,0.01093
-22.63419,51.01678,4.97936,-0.90169,-0.00867,0.4323,0.9888,0.0,0.0,nan,0.0,0.00301
-22.02976,50.98771,6.06386,-0.80561,0.01565,0.59224,0.98344,0.0,0.0,nan,0.0,0.00183
-22.08286,53.04333,-6.31076,-0.70871,-0.006,-0.70548,0.96437,0.0,0.0,nan,0.0,0.0029
-22.85714,52.98486,-5.11315,-0.88579,0.00024,-0.46409,0.97768,0.0,0.0,nan,0.0,0.00283
-23.30853,52.98953,-3.01831,-0.97941,0.00561,-0.20182,0.99992,0.0,0.0,nan,0.0,0.00911
-23.71889,53.01377,-1.0233,-0.9965,-0.00551,-0.08345,0.99665,0.0,0.0,nan,0.0,0.01284
-23.66964,53.01947,0.97057,-0.99408,-0.03879,0.10147,0.98781,0.0,0.0,nan,0.0,0.01128
-23.28358,52.99864,2.99773,-0.96861,-0.02648,0.24717,0.99357,0.00047,0.00237,0.6,1.0,0.01429
-22.64946,53.00903,4.97998,-0.90149,0.00187,0.43279,0.9895,0.0,0.0,nan,0.0,0.02787
-22.03383,52.93208,6.00119,-0.81755,-0.00331,0.57584,0.99109,0.0,0.0,nan,0.0,0.00966
-22.26901,54.94621,-6.36601,-0.70647,-0.06043,-0.70516,0.96487,0.0,0.0,nan,0.0,0.00304
-22.93687,55.0158,-5.03537,-0.90309,-0.0438,-0.42721,0.9742,0.00033,0.00164,0.7,1.0,0.00734
-23.27914,54.9964,-3.01148,-0.98305,-0.01082,-0.183,0.99923,0.0,0.0,nan,0.0,0.00827
-23.71541,55.03917,-0.99196,-0.99498,0.00347,-0.10003,0.99665,0.0,0.0,nan,0.0,0.02051
-23.74237,54.91235,0.99817,-0.99525,-0.00126,0.09735,0.99178,0.0,0.0,nan,0.0,0.01423
-23.3205,55.00388,2.99832,-0.95981,0.01874,0.28001,0.98731,0.00969,0.04844,0.6,1.0,0.02646
-22.54998,55.00824,5.03006,-0.88342,0.04833,0.46609,0.99168,0.03519,0.03519,0.6,0.56354,0.00664
